place, population, pct_under_18, pct_between_18_64, pct_over 64, male_female_ratio
Campbell city;36048.0;19.7;71.0;9.3;95.5
Monrovia city;35761.0;25.6;63.5;10.8;92.2
San Ramon city;35303.0;26.8;68.9;4.3;96.6
Highland city;34439.0;33.0;60.4;6.6;93.9
Bell city;34365.0;34.2;59.3;6.5;105.4
Tracy city;33558.0;31.3;60.6;8.1;98.8
Tulare city;33249.0;34.4;54.8;10.7;87.0
Brea city;32873.0;23.2;67.5;9.3;97.9
Yucaipa city;32824.0;24.3;51.6;24.0;84.9
Willowbrook CDP;32772.0;35.1;55.3;9.6;92.1
Claremont city;32503.0;21.6;66.0;12.4;90.2
San Dimas city;32397.0;26.2;64.5;9.4;93.5
Manhattan Beach city;32063.0;16.4;75.0;8.6;104.4
Beverly Hills city;31971.0;16.6;63.1;20.3;75.5
Monterey city;31954.0;18.2;68.9;12.9;103.0
Parkway-South Sacramento CDP;31903.0;33.7;56.2;10.0;86.4
Dana Point city;31896.0;20.0;69.9;10.0;103.2
Martinez city;31808.0;22.9;68.1;9.0;96.1
Pleasant Hill city;31585.0;20.6;67.6;11.7;92.8
Gilroy city;31487.0;32.7;59.6;7.7;97.1
El Centro city;31384.0;35.8;56.2;8.0;90.8
Danville city;31306.0;26.0;65.6;8.4;94.1
Temple City city;31100.0;23.8;61.2;14.9;86.7
Watsonville city;31099.0;31.3;56.2;12.6;93.8
Westmont CDP;31044.0;35.8;59.3;4.8;79.9
Hanford city;30897.0;31.2;57.8;11.0;90.2
La Verne city;30897.0;26.2;61.0;12.8;89.4
Casa de Oro-Mount Helix CDP;30727.0;24.8;64.6;10.6;97.1
Stanton city;30491.0;26.1;63.9;10.0;99.3
Cathedral City city;30085.0;26.8;59.3;13.9;102.5
Folsom city;29802.0;21.1;70.2;8.7;167.9
Porterville city;29563.0;32.8;54.5;12.8;86.6
Madera city;29281.0;33.9;54.6;11.6;91.2
Walnut city;29105.0;32.6;63.5;3.9;96.6
West Sacramento city;28898.0;27.9;59.0;13.1;98.4
Montclair city;28434.0;31.1;61.1;7.8;97.1
Foster City city;28176.0;20.5;72.5;7.0;95.8
Saratoga city;28061.0;20.8;65.7;13.6;93.6
Menlo Park city;28040.0;18.9;63.2;17.9;88.2
Maywood city;27850.0;36.6;58.9;4.5;109.2
Ridgecrest city;27725.0;29.7;63.4;6.9;103.9
Chino Hills CDP;27608.0;32.1;65.4;2.5;99.4
Yuba City city;27437.0;29.0;59.2;11.7;88.1
Los Gatos town;27357.0;18.7;68.6;12.7;89.7
Lawndale city;27331.0;27.1;67.2;5.7;104.6
Temecula city;27099.0;32.9;60.8;6.3;101.6
Eureka city;27025.0;24.9;60.2;14.9;91.1
Fair Oaks CDP;26867.0;24.2;65.7;10.1;94.5
Burlingame city;26801.0;16.4;64.9;18.8;84.9
Oildale CDP;26553.0;28.4;58.2;13.4;87.6
Coronado city;26540.0;12.0;75.0;13.0;209.0
Imperial Beach city;26512.0;29.3;64.5;6.1;105.0
Marina city;26436.0;29.2;66.5;4.3;114.6
Ceres city;26314.0;33.1;58.4;8.5;91.9
Los Altos city;26303.0;20.6;60.8;18.7;91.5
Orangevale CDP;26266.0;28.0;62.4;9.6;95.2
San Juan Capistrano city;26183.0;26.5;60.6;12.9;96.0
San Carlos city;26167.0;19.0;65.5;15.5;89.5
Moorpark city;25494.0;33.5;62.7;3.8;103.1
Paradise town;25408.0;20.7;48.7;30.6;84.0
San Pablo city;25158.0;30.3;59.0;10.7;89.5
Seal Beach city;25098.0;11.8;51.2;37.0;75.7
Santa Paula city;25062.0;29.9;57.8;12.3;102.4
Benicia city;24437.0;27.2;64.7;8.0;93.5
Rubidoux CDP;24367.0;33.7;59.2;7.0;98.7
Tustin Foothills CDP;24358.0;22.6;65.7;11.7;95.8
Florin CDP;24330.0;29.7;58.8;11.5;87.8
West Whittier-Los Nietos CDP;24164.0;30.7;59.1;10.3;94.9
Belmont city;24127.0;17.7;70.9;11.4;94.4
Lemon Grove city;23984.0;26.6;59.6;13.8;89.8
South Pasadena city;23936.0;20.3;67.5;12.2;84.0
Morgan Hill city;23928.0;30.2;62.2;7.6;97.7
Lafayette city;23501.0;22.6;63.9;13.5;93.9
East Palo Alto city;23451.0;32.8;61.6;5.6;103.9
Norco city;23302.0;22.2;73.1;4.8;140.7
Palm Desert city;23252.0;17.1;59.6;23.2;94.3
Dublin city;23229.0;22.6;74.1;3.3;129.4
Laguna Beach city;23170.0;13.4;72.7;13.9;104.6
Atascadero city;23138.0;29.0;59.8;11.2;92.5
El Cerrito city;22869.0;16.1;62.7;21.2;86.2
Rosemont CDP;22851.0;28.9;65.7;5.5;91.7
Cudahy city;22817.0;38.2;57.8;4.0;102.0
Delano city;22762.0;34.4;55.1;10.5;100.1
Lennox CDP;22757.0;37.5;58.9;3.7;124.2
Suisun City city;22686.0;37.1;59.4;3.5;97.2
San Fernando city;22580.0;34.3;58.2;7.5;102.3
